yearID,teamID,G,W,L
1985,MIL,161,71,90
1986,MIL,161,77,84
1987,MIL,162,91,71
1988,MIL,162,87,75
1989,MIL,162,81,81
1990,MIL,162,74,88
1991,MIL,162,83,79
1992,MIL,162,92,70
1993,MIL,162,69,93
1994,MIL,115,53,62
1995,MIL,144,65,79
1996,MIL,162,80,82
1997,MIL,161,78,83
1998,MIL,162,74,88
1999,MIL,161,74,87
2000,MIL,163,73,89
2001,MIL,162,68,94
2002,MIL,162,56,106
2003,MIL,162,68,94
2004,MIL,161,67,94
2005,MIL,162,81,81
2006,MIL,162,75,87
2007,MIL,162,83,79
2008,MIL,162,90,72
2009,MIL,162,80,82
2010,MIL,162,77,85
2011,MIL,162,96,66
2012,MIL,162,83,79
2013,MIL,162,74,88
1970,MIN,162,98,64
1971,MIN,160,74,86
1972,MIN,154,77,77
1973,MIN,162,81,81
1974,MIN,163,82,80
1975,MIN,159,76,83
1976,MIN,162,85,77
1977,MIN,161,84,77
1978,MIN,162,73,89
1979,MIN,162,82,80
1980,MIN,161,77,84
1981,MIN,110,41,68
1982,MIN,162,60,102
1983,MIN,162,70,92
1984,MIN,162,81,81
1985,MIN,162,77,85
1986,MIN,162,71,91
1987,MIN,162,85,77
1988,MIN,162,91,71
1989,MIN,162,80,82
1990,MIN,162,74,88
1991,MIN,162,95,67
1992,MIN,162,90,72
1993,MIN,162,71,91
1994,MIN,113,53,60
1995,MIN,144,56,88
1996,MIN,162,78,84
1997,MIN,162,68,94
1998,MIN,162,70,92
1999,MIN,161,63,97
2000,MIN,162,69,93
2001,MIN,162,85,77
2002,MIN,161,94,67
2003,MIN,162,90,72
2004,MIN,162,92,70
2005,MIN,162,83,79
2006,MIN,162,96,66
2007,MIN,162,79,83
2008,MIN,163,88,75
2009,MIN,163,87,76
2010,MIN,162,94,68
2011,MIN,162,63,99
2012,MIN,162,66,96
2013,MIN,162,66,96
1970,MON,162,73,89
1971,MON,162,71,90
1972,MON,156,70,86
1973,MON,162,79,83
1974,MON,161,79,82
1975,MON,162,75,87
1976,MON,162,55,107
1977,MON,162,75,87
1978,MON,162,76,86
1979,MON,160,95,65
1980,MON,162,90,72
1981,MON,108,60,48
1982,MON,162,86,76
1983,MON,163,82,80
1984,MON,161,78,83
1985,MON,161,84,77
1986,MON,161,78,83
1987,MON,162,91,71
1988,MON,163,81,81
1989,MON,162,81,81
1990,MON,162,85,77
1991,MON,161,71,90
1992,MON,162,87,75
1993,MON,163,94,68
1994,MON,114,74,40
1995,MON,144,66,78
1996,MON,162,88,74
1997,MON,162,78,84
1998,MON,162,65,97
1999,MON,162,68,94
2000,MON,162,67,95
2001,MON,162,68,94
2002,MON,162,83,79
2003,MON,162,83,79
2004,MON,162,67,95
1970,NYA,163,93,69
1971,NYA,162,82,80
1972,NYA,155,79,76
1973,NYA,162,80,82
1974,NYA,162,89,73
1975,NYA,160,83,77
1976,NYA,159,97,62
1977,NYA,162,100,62
1978,NYA,163,100,63
1979,NYA,160,89,71
1980,NYA,162,103,59
1981,NYA,107,59,48
1982,NYA,162,79,83
1983,NYA,162,91,71
1984,NYA,162,87,75
1985,NYA,161,97,64
1986,NYA,162,90,72
1987,NYA,162,89,73
1988,NYA,161,85,76
1989,NYA,161,74,87
1990,NYA,162,67,95
1991,NYA,162,71,91
1992,NYA,162,76,86
1993,NYA,162,88,74
1994,NYA,113,70,43
1995,NYA,145,79,65
1996,NYA,162,92,70
1997,NYA,162,96,66
1998,NYA,162,114,48
1999,NYA,162,98,64
2000,NYA,161,87,74
2001,NYA,161,95,65
2002,NYA,161,103,58
2003,NYA,163,101,61
2004,NYA,162,101,61
2005,NYA,162,95,67
2006,NYA,162,97,65
2007,NYA,162,94,68
2008,NYA,162,89,73
2009,NYA,162,103,59
2010,NYA,162,95,67
2011,NYA,162,97,65
2012,NYA,162,95,67
2013,NYA,162,85,77
1970,NYN,162,83,79
1971,NYN,162,83,79
1972,NYN,156,83,73
1973,NYN,161,82,79
1974,NYN,162,71,91
1975,NYN,162,82,80
1976,NYN,162,86,76
1977,NYN,162,64,98
1978,NYN,162,66,96
1979,NYN,163,63,99
1980,NYN,162,67,95
1981,NYN,105,41,62
1982,NYN,162,65,97
1983,NYN,162,68,94
1984,NYN,162,90,72
1985,NYN,162,98,64
1986,NYN,162,108,54
1987,NYN,162,92,70
1988,NYN,160,100,60
1989,NYN,162,87,75
1990,NYN,162,91,71
1991,NYN,161,77,84
1992,NYN,162,72,90
1993,NYN,162,59,103
1994,NYN,113,55,58
1995,NYN,144,69,75
1996,NYN,162,71,91
1997,NYN,162,88,74
1998,NYN,162,88,74
1999,NYN,163,97,66
2000,NYN,162,94,68
2001,NYN,162,82,80
2002,NYN,161,75,86
2003,NYN,161,66,95
2004,NYN,162,71,91
2005,NYN,162,83,79
2006,NYN,162,97,65
2007,NYN,162,88,74
2008,NYN,162,89,73
2009,NYN,162,70,92
2010,NYN,162,79,83
2011,NYN,162,77,85
2012,NYN,162,74,88
2013,NYN,162,74,88
1970,OAK,162,89,73
1971,OAK,161,101,60
1972,OAK,155,93,62
1973,OAK,162,94,68
1974,OAK,162,90,72
1975,OAK,162,98,64
1976,OAK,161,87,74
1977,OAK,161,63,98
1978,OAK,162,69,93
1979,OAK,162,54,108
1980,OAK,162,83,79
1981,OAK,109,64,45
1982,OAK,162,68,94
1983,OAK,162,74,88
1984,OAK,162,77,85
1985,OAK,162,77,85
1986,OAK,162,76,86
1987,OAK,162,81,81
1988,OAK,162,104,58
1989,OAK,162,99,63
1990,OAK,162,103,59
1991,OAK,162,84,78
1992,OAK,162,96,66
1993,OAK,162,68,94
1994,OAK,114,51,63
1995,OAK,144,67,77
1996,OAK,162,78,84
1997,OAK,162,65,97
1998,OAK,162,74,88
1999,OAK,162,87,75
2000,OAK,161,91,70
2001,OAK,162,102,60
2002,OAK,162,103,59
2003,OAK,162,96,66
2004,OAK,162,91,71
2005,OAK,162,88,74
2006,OAK,162,93,69
2007,OAK,162,76,86
2008,OAK,161,75,86
2009,OAK,162,75,87
2010,OAK,162,81,81
2011,OAK,162,74,88
2012,OAK,162,94,68
2013,OAK,162,96,66
1970,PHI,161,73,88
1971,PHI,162,67,95
1972,PHI,156,59,97
1973,PHI,162,71,91
1974,PHI,162,80,82
1975,PHI,162,86,76
1976,PHI,162,101,61
1977,PHI,162,101,61
1978,PHI,162,90,72
1979,PHI,163,84,78
1980,PHI,162,91,71
1981,PHI,107,59,48
1982,PHI,162,89,73
1983,PHI,163,90,72
1984,PHI,162,81,81
1985,PHI,162,75,87
1986,PHI,161,86,75
1987,PHI,162,80,82
1988,PHI,162,65,96
1989,PHI,163,67,95
1990,PHI,162,77,85
1991,PHI,162,78,84
1992,PHI,162,70,92
1993,PHI,162,97,65
1994,PHI,115,54,61
1995,PHI,144,69,75
1996,PHI,162,67,95
1997,PHI,162,68,94
1998,PHI,162,75,87
1999,PHI,162,77,85
2000,PHI,162,65,97
2001,PHI,162,86,76
2002,PHI,161,80,81
2003,PHI,162,86,76
2004,PHI,162,86,76
2005,PHI,162,88,74
2006,PHI,162,85,77
2007,PHI,162,89,73
2008,PHI,162,92,70
2009,PHI,162,93,69
2010,PHI,162,97,65
2011,PHI,162,102,60
2012,PHI,162,81,81
2013,PHI,162,73,89
1970,PIT,162,89,73
1971,PIT,162,97,65
1972,PIT,155,96,59
1973,PIT,162,80,82
1974,PIT,162,88,74
1975,PIT,161,92,69
1976,PIT,162,92,70
1977,PIT,162,96,66
1978,PIT,161,88,73
1979,PIT,163,98,64
1980,PIT,162,83,79
1981,PIT,103,46,56
1982,PIT,162,84,78
1983,PIT,162,84,78
1984,PIT,162,75,87
1985,PIT,161,57,104
1986,PIT,162,64,98
1987,PIT,162,80,82
1988,PIT,160,85,75
1989,PIT,164,74,88
1990,PIT,162,95,67
1991,PIT,162,98,64
1992,PIT,162,96,66
1993,PIT,162,75,87
1994,PIT,114,53,61
1995,PIT,144,58,86
1996,PIT,162,73,89
1997,PIT,162,79,83
1998,PIT,163,69,93
1999,PIT,161,78,83
2000,PIT,162,69,93
2001,PIT,162,62,100
2002,PIT,161,72,89
2003,PIT,162,75,87
2004,PIT,161,72,89
2005,PIT,162,67,95
2006,PIT,162,67,95
2007,PIT,162,68,94
2008,PIT,162,67,95
2009,PIT,161,62,99
2010,PIT,162,57,105
2011,PIT,162,72,90
2012,PIT,162,79,83
2013,PIT,162,94,68
1970,SDN,162,63,99
1971,SDN,161,61,100
1972,SDN,153,58,95
1973,SDN,162,60,102
1974,SDN,162,60,102
1975,SDN,162,71,91
1976,SDN,162,73,89
1977,SDN,162,69,93
1978,SDN,162,84,78
1979,SDN,161,68,93
1980,SDN,163,73,89
1981,SDN,110,41,69
1982,SDN,162,81,81
1983,SDN,163,81,81
1984,SDN,162,92,70
1985,SDN,162,83,79
1986,SDN,162,74,88
1987,SDN,162,65,97
1988,SDN,161,83,78
1989,SDN,162,89,73
1990,SDN,162,75,87
1991,SDN,162,84,78
1992,SDN,162,82,80
1993,SDN,162,61,101
1994,SDN,117,47,70
1995,SDN,144,70,74
1996,SDN,162,91,71
1997,SDN,162,76,86
1998,SDN,162,98,64
1999,SDN,162,74,88
2000,SDN,162,76,86
2001,SDN,162,79,83
2002,SDN,162,66,96
2003,SDN,162,64,98
2004,SDN,162,87,75
2005,SDN,162,82,80
2006,SDN,162,88,74
2007,SDN,163,89,74
2008,SDN,162,63,99
2009,SDN,162,75,87
2010,SDN,162,90,72
2011,SDN,162,71,91
2012,SDN,162,76,86
2013,SDN,162,76,86
1977,SEA,162,64,98
1978,SEA,160,56,104
1979,SEA,162,67,95
1980,SEA,163,59,103
1981,SEA,110,44,65
1982,SEA,162,76,86
1983,SEA,162,60,102
1984,SEA,162,74,88
1985,SEA,162,74,88
1986,SEA,162,67,95
1987,SEA,162,78,84
1988,SEA,161,68,93
1989,SEA,162,73,89
1990,SEA,162,77,85
1991,SEA,162,83,79
1992,SEA,162,64,98
1993,SEA,162,82,80
1994,SEA,112,49,63
1995,SEA,145,79,66
1996,SEA,161,85,76
1997,SEA,162,90,72
1998,SEA,161,76,85
1999,SEA,162,79,83
2000,SEA,162,91,71
2001,SEA,162,116,46
2002,SEA,162,93,69
2003,SEA,162,93,69
2004,SEA,162,63,99
2005,SEA,162,69,93
2006,SEA,162,78,84
2007,SEA,162,88,74
2008,SEA,162,61,101
2009,SEA,162,85,77
2010,SEA,162,61,101
2011,SEA,162,67,95
2012,SEA,162,75,87
2013,SEA,162,71,91
1970,SFN,162,86,76
1971,SFN,162,90,72
1972,SFN,155,69,86
1973,SFN,162,88,74
1974,SFN,162,72,90
1975,SFN,161,80,81
1976,SFN,162,74,88
1977,SFN,162,75,87
1978,SFN,162,89,73
1979,SFN,162,71,91
1980,SFN,161,75,86
1981,SFN,111,56,55
1982,SFN,162,87,75
1983,SFN,162,79,83
1984,SFN,162,66,96
1985,SFN,162,62,100
1986,SFN,162,83,79
1987,SFN,162,90,72
1988,SFN,162,83,79
1989,SFN,162,92,70
1990,SFN,162,85,77
1991,SFN,162,75,87
1992,SFN,162,72,90
1993,SFN,162,103,59
1994,SFN,115,55,60
1995,SFN,144,67,77
1996,SFN,162,68,94
1997,SFN,162,90,72
1998,SFN,163,89,74
1999,SFN,162,86,76
2000,SFN,162,97,65
2001,SFN,162,90,72
2002,SFN,162,95,66
2003,SFN,161,100,61
2004,SFN,162,91,71
2005,SFN,162,75,87
2006,SFN,161,76,85
2007,SFN,162,71,91
2008,SFN,162,72,90
2009,SFN,162,88,74
2010,SFN,162,92,70
2011,SFN,162,86,76
2012,SFN,162,94,68
2013,SFN,162,76,86
1970,SLN,162,76,86
1971,SLN,163,90,72
1972,SLN,156,75,81
1973,SLN,162,81,81
1974,SLN,161,86,75
1975,SLN,163,82,80
1976,SLN,162,72,90
1977,SLN,162,83,79
1978,SLN,162,69,93
1979,SLN,163,86,76
1980,SLN,162,74,88
1981,SLN,103,59,43
1982,SLN,162,92,70
1983,SLN,162,79,83
1984,SLN,162,84,78
1985,SLN,162,101,61
1986,SLN,161,79,82
1987,SLN,162,95,67
1988,SLN,162,76,86
1989,SLN,164,86,76
1990,SLN,162,70,92
1991,SLN,162,84,78
1992,SLN,162,83,79
1993,SLN,162,87,75
1994,SLN,115,53,61
1995,SLN,143,62,81
1996,SLN,162,88,74
1997,SLN,162,73,89
1998,SLN,163,83,79
1999,SLN,161,75,86
2000,SLN,162,95,67
2001,SLN,162,93,69
2002,SLN,162,97,65
2003,SLN,162,85,77
2004,SLN,162,105,57
2005,SLN,162,100,62
2006,SLN,161,83,78
2007,SLN,162,78,84
2008,SLN,162,86,76
2009,SLN,162,91,71
2010,SLN,162,86,76
2011,SLN,162,90,72
2012,SLN,162,88,74
2013,SLN,162,97,65
1998,TBA,162,63,99
1999,TBA,162,69,93
2000,TBA,161,69,92
2001,TBA,162,62,100
2002,TBA,161,55,106
2003,TBA,162,63,99
2004,TBA,161,70,91
2005,TBA,162,67,95
2006,TBA,162,61,101
2007,TBA,162,66,96
2008,TBA,162,97,65
2009,TBA,162,84,78
2010,TBA,162,96,66
2011,TBA,162,91,71
2012,TBA,162,90,72
2013,TBA,163,92,71
1972,TEX,154,54,100
1973,TEX,162,57,105
1974,TEX,161,84,76
1975,TEX,162,79,83
1976,TEX,162,76,86
1977,TEX,162,94,68
1978,TEX,162,87,75
1979,TEX,162,83,79
1980,TEX,163,76,85
1981,TEX,105,57,48
1982,TEX,162,64,98
1983,TEX,163,77,85
1984,TEX,161,69,92
1985,TEX,161,62,99
1986,TEX,162,87,75
1987,TEX,162,75,87
1988,TEX,161,70,91
1989,TEX,162,83,79
1990,TEX,162,83,79
1991,TEX,162,85,77
1992,TEX,162,77,85
1993,TEX,162,86,76
1994,TEX,114,52,62
1995,TEX,144,74,70
1996,TEX,163,90,72
1997,TEX,162,77,85
1998,TEX,162,88,74
1999,TEX,162,95,67
2000,TEX,162,71,91
2001,TEX,162,73,89
2002,TEX,162,72,90
2003,TEX,162,71,91
2004,TEX,162,89,73
2005,TEX,162,79,83
2006,TEX,162,80,82
2007,TEX,162,75,87
2008,TEX,162,79,83
2009,TEX,162,87,75
2010,TEX,162,90,72
2011,TEX,162,96,66
2012,TEX,162,93,69
2013,TEX,163,91,72
1977,TOR,161,54,107
1978,TOR,161,59,102
1979,TOR,162,53,109
1980,TOR,162,67,95
1981,TOR,106,37,69
1982,TOR,162,78,84
1983,TOR,162,89,73
1984,TOR,163,89,73
1985,TOR,161,99,62
1986,TOR,163,86,76
1987,TOR,162,96,66
1988,TOR,162,87,75
1989,TOR,162,89,73
1990,TOR,162,86,76
1991,TOR,162,91,71
1992,TOR,162,96,66
1993,TOR,162,95,67
1994,TOR,115,55,60
1995,TOR,144,56,88
1996,TOR,162,74,88
1997,TOR,162,76,86
1998,TOR,163,88,74
1999,TOR,162,84,78
2000,TOR,162,83,79
2001,TOR,162,80,82
2002,TOR,162,78,84
2003,TOR,162,86,76
2004,TOR,161,67,94
2005,TOR,162,80,82
2006,TOR,162,87,75
2007,TOR,162,83,79
2008,TOR,162,86,76
2009,TOR,162,75,87
2010,TOR,162,85,77
2011,TOR,162,81,81
2012,TOR,162,73,89
2013,TOR,162,74,88
2005,WAS,162,81,81
2006,WAS,162,71,91
2007,WAS,162,73,89
2008,WAS,161,59,102
2009,WAS,162,59,103
2010,WAS,162,69,93
2011,WAS,161,80,81
2012,WAS,162,98,64
2013,WAS,162,86,76
1970,WS2,162,70,92
1971,WS2,159,63,96
